İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus,Bina_Yasi_Sayi,Oda_Sayi_Num,Aykiri_Fiyat,mahalle_lat,mahalle_lon,rayli_mesafe_km,mesafe_band
1176,12 Ocak 2022,Satılık,95,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,80,2+1,Düz Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,925000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,25,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1170,26 Ocak 2022,Satılık,100,21 Ve Üzeri,5,Boş,Bilinmiyor,Yok,1,12 Ocak 2022,Konut,80,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,749000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,25,3.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1169,24 Ocak 2022,Satılık,180,0 (Yeni),5,Boş,Bilinmiyor,Yok,2,11 Ocak 2022,Konut,160,3+2,5. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,2400000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,0,5.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
1117,10 Şubat 2022,Satılık,85,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,70,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,700000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,25,3.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
1102,11 Ocak 2022,Satılık,92,0 (Yeni),5,Boş,Bilinmiyor,Yok,2,11 Ocak 2022,Konut,80,2+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1100000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566,0,3.0,0,40.951875,29.1016652,0.34627451167236833,0-500m
1111,11 Ocak 2022,Satılık,50,5-10,4,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,40,1+1,Düz Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,760000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,7,2.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
1115,11 Ocak 2022,Satılık,62,5-10,24,Kiracı Oturuyor,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,45,1+1,7. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1325000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,7,2.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1064,10 Ocak 2022,Satılık,90,16-20,7,Kiracı Oturuyor,Bilinmiyor,Yok,1,10 Ocak 2022,Konut,80,2+1,6. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,310000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,18,3.0,1,40.9363954,29.147589,0.6774838160984873,500m-1km
1063,10 Ocak 2022,Satılık,75,4,3,Boş,Bilinmiyor,Yok,1,10 Ocak 2022,Konut,60,1+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,439000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,4,2.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1062,10 Ocak 2022,Satılık,100,16-20,7,Boş,Bilinmiyor,Yok,1,10 Ocak 2022,Konut,90,2+1,2. Kat,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,465000,İstanbul,Maltepe,İdealtepe Mahallesi,Anadolu Yakası,0.161,525.566,18,3.0,0,40.9378351,29.1142301,0.0038123279203119325,0-500m
1113,11 Ocak 2022,Satılık,90,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,70,2+1,Yüksek Giriş,Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,925000,İstanbul,Maltepe,Küçükyalı Mahallesi,Anadolu Yakası,0.161,525.566,25,3.0,0,40.946258,29.1071674,0.029042933908829355,0-500m
1114,11 Ocak 2022,Satılık,90,11-15,4,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,70,2+1,Yüksek Giriş,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1485000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566,13,3.0,0,40.9363954,29.147589,0.6774838160984873,500m-1km
1103,13 Ocak 2022,Satılık,120,1,5,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,110,3+1,2. Kat,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,900000,İstanbul,Maltepe,Çınar Mahallesi,Anadolu Yakası,0.161,525.566,1,4.0,0,40.9441446,29.1127963,0.5540838739896988,500m-1km
1112,11 Ocak 2022,Satılık,80,3,4,Boş,Bilinmiyor,Yok,1,11 Ocak 2022,Konut,70,2+1,Bahçe Katı,Doğalgaz,KREDIYE UYGUN,Hayır,Var,Genel Fiyat,1290000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566,3,3.0,0,40.9162851,29.1470405,1.0289093801519686,1-2km
